Molecule,TanimotoA,Canonical SMILES,Formula,MW,#Heavy atoms,#Aromatic heavy atoms,Fraction Csp3,#Rotatable bonds,#H-bond acceptors,#H-bond donors,MR,TPSA,iLOGP,XLOGP3,WLOGP,MLOGP,Silicos-IT Log P,Consensus Log P,ESOL Log S,ESOL Solubility (mg/ml),ESOL Solubility (mol/l),ESOL Class,Ali Log S,Ali Solubility (mg/ml),Ali Solubility (mol/l),Ali Class,Silicos-IT LogSw,Silicos-IT Solubility (mg/ml),Silicos-IT Solubility (mol/l),Silicos-IT class,GI absorption,BBB permeant,Pgp substrate,CYP1A2 inhibitor,CYP2C19 inhibitor,CYP2C9 inhibitor,CYP2D6 inhibitor,CYP3A4 inhibitor,log Kp (cm/s),Lipinski #violations,Ghose #violations,Veber #violations,Egan #violations,Muegge #violations,Bioavailability Score,PAINS #alerts,Brenk #alerts,Leadlikeness #violations,Synthetic Accessibility
Molecule 19,0.290362954,N#CCCN(Cc1cc(=O)oc2c1c1ccccc1cc2)C,C18H16N2O2,292.33,22,14,0.22,4,4,0,86.83,57.24,2.53,2.24,3.14,2.05,3.7,2.73,-3.27,1.57E-01,5.36E-04,Soluble,-3.08,2.44E-01,8.36E-04,Soluble,-6.3,1.46E-04,4.98E-07,Poorly soluble,High,Yes,No,Yes,Yes,Yes,Yes,Yes,-6.49,0,0,0,0,0,0.55,0,2,0,2.89
Molecule 20,0.384251036,O=C(N(C)C)Oc1ccc2c(c1)O/C(=C\c1ccco1)/C2=O,C16H13NO5,299.28,22,11,0.12,4,5,0,77.68,68.98,3.08,2.46,2.85,0.71,2.22,2.26,-3.35,1.33E-01,4.45E-04,Soluble,-3.55,8.39E-02,2.80E-04,Soluble,-4.13,2.23E-02,7.45E-05,Moderately soluble,High,Yes,No,Yes,Yes,Yes,No,Yes,-6.38,0,0,0,0,0,0.55,1,1,0,3.22
Molecule 21,0.37037037,CC(=O)Oc1ccc2c(c1)O/C(=C\c1cccnc1)/C2=O,C16H11NO4,281.26,21,12,0.06,3,5,0,75.11,65.49,2.53,2.28,2.51,1.08,3.13,2.31,-3.25,1.60E-01,5.69E-04,Soluble,-3.29,1.43E-01,5.10E-04,Soluble,-4.83,4.20E-03,1.49E-05,Moderately soluble,High,Yes,No,Yes,Yes,Yes,No,Yes,-6.4,0,0,0,0,0,0.55,0,2,0,2.9
Molecule 22,0.365636147,CC(=O)Oc1ccc2c(c1)O/C(=C\c1ccco1)/C2=O,C15H10O5,270.24,20,11,0.07,3,5,0,69.58,65.74,2.73,2.45,2.71,0.87,3.07,2.37,-3.27,1.46E-01,5.40E-04,Soluble,-3.47,9.07E-02,3.36E-04,Soluble,-4.42,1.04E-02,3.85E-05,Moderately soluble,High,Yes,No,Yes,Yes,Yes,No,Yes,-6.21,0,0,0,0,0,0.55,1,2,0,3.06
Molecule 23,0.345323741,CC(=O)Oc1ccc2c(c1)O/C(=C\c1ccncc1)/C2=O,C16H11NO4,281.26,21,12,0.06,3,5,0,75.11,65.49,2.52,2.28,2.51,1.08,3.13,2.3,-3.25,1.60E-01,5.69E-04,Soluble,-3.29,1.43E-01,5.10E-04,Soluble,-4.83,4.20E-03,1.49E-05,Moderately soluble,High,Yes,No,Yes,Yes,Yes,No,No,-6.4,0,0,0,0,0,0.55,0,2,0,2.81
Molecule 24,0.361510791,COc1ccc2c(c1)O/C(=C\c1cccnc1)/C2=O,C15H11NO3,253.25,19,12,0.07,2,4,0,70.11,48.42,2.52,2.5,2.6,0.92,3.23,2.35,-3.32,1.21E-01,4.78E-04,Soluble,-3.16,1.74E-01,6.88E-04,Soluble,-4.88,3.30E-03,1.30E-05,Moderately soluble,High,Yes,No,Yes,Yes,No,No,Yes,-6.07,0,0,0,0,0,0.55,0,1,0,2.81
Molecule 25,0.337146297,COc1ccc2c(c1)O/C(=C\c1ccncc1)/C2=O.Cl,C15H12ClNO3,289.71,20,12,0.07,2,4,0,77.07,48.42,0,3.3,3.4,1.17,3.23,2.22,-4.03,2.72E-02,9.39E-05,Moderately soluble,-3.99,2.95E-02,1.02E-04,Soluble,-4.88,3.78E-03,1.30E-05,Moderately soluble,High,Yes,Yes,Yes,No,No,No,No,-5.72,0,0,0,0,0,0.55,0,1,0,2.79
Molecule 26,0.318491033,N#CCCN(Cc1cc(=O)oc2c1cc(O)c(c2)C)C,C15H16N2O3,272.3,20,10,0.33,4,5,1,76.31,77.47,2.33,1,2,0.95,2.65,1.78,-2.26,1.48E+00,5.44E-03,Soluble,-2.22,1.66E+00,6.08E-03,Soluble,-4.45,9.71E-03,3.56E-05,Moderately soluble,High,No,No,Yes,No,No,No,No,-7.25,0,0,0,0,0,0.55,0,1,0,2.79
Molecule 27,0.31184129,N#CCCN(Cc1cc(=O)oc2c1ccc(c2)OC)C.Cl,C15H17ClN2O3,308.76,21,10,0.33,5,5,0,82.78,66.47,0,2.19,2.8,1.2,2.66,1.77,-3.16,2.15E-01,6.98E-04,Soluble,-3.22,1.86E-01,6.03E-04,Soluble,-4.76,5.33E-03,1.73E-05,Moderately soluble,High,Yes,Yes,Yes,No,No,No,No,-6.63,0,0,0,0,0,0.55,0,1,0,2.86
Molecule 28,0.421658986,CN(Cc1c(O)ccc2c1O/C(=C\c1ccco1)/C2=O)C,C16H15NO4,285.29,21,11,0.19,3,5,1,77.58,62.91,2.62,2.18,2.4,0.38,2.66,2.05,-3.17,1.92E-01,6.73E-04,Soluble,-3.13,2.09E-01,7.34E-04,Soluble,-4.28,1.51E-02,5.31E-05,Moderately soluble,High,Yes,No,Yes,Yes,No,No,Yes,-6.49,0,0,0,0,0,0.55,2,1,0,3.25
Molecule 29,0.424768519,CN(Cc1c(O)ccc2c1O/C(=C\c1cccnc1)/C2=O)C,C17H16N2O3,296.32,22,12,0.18,3,5,1,83.11,62.66,2.47,2.01,2.2,0.59,2.72,2,-3.15,2.10E-01,7.09E-04,Soluble,-2.95,3.30E-01,1.11E-03,Soluble,-4.68,6.13E-03,2.07E-05,Moderately soluble,High,Yes,No,Yes,No,No,No,Yes,-6.68,0,0,0,0,0,0.55,1,1,0,3.12
Molecule 30,0.403946605,CN(Cc1c(O)ccc2c1O/C(=C\c1ccncc1)/C2=O)C,C17H16N2O3,296.32,22,12,0.18,3,5,1,83.11,62.66,2.34,2.01,2.2,0.59,2.72,1.97,-3.15,2.10E-01,7.09E-04,Soluble,-2.95,3.30E-01,1.11E-03,Soluble,-4.68,6.13E-03,2.07E-05,Moderately soluble,High,Yes,No,Yes,No,No,No,Yes,-6.68,0,0,0,0,0,0.55,1,1,0,3.05
Molecule 31,0.393586006,NC(=O)COc1ccc2c(c1C)O/C(=C\c1ccco1)/C2=O,C16H13NO5,299.28,22,11,0.12,4,5,1,77.26,91.76,2.11,1.98,1.96,-0.1,2.73,1.74,-3.05,2.67E-01,8.93E-04,Soluble,-3.53,8.78E-02,2.93E-04,Soluble,-4.45,1.06E-02,3.55E-05,Moderately soluble,High,No,No,Yes,Yes,Yes,No,Yes,-6.72,0,0,0,0,0,0.55,1,1,0,3.21
Molecule 32,0.368891538,OC(=O)COc1ccc2c(c1)O/C(=C\c1ccco1)/C2=O,C15H10O6,286.24,21,11,0.07,4,6,1,71.16,85.97,1.94,2.26,2.25,0.06,2.46,1.79,-3.16,1.97E-01,6.89E-04,Soluble,-3.7,5.69E-02,1.99E-04,Soluble,-3.85,4.02E-02,1.40E-04,Soluble,High,No,No,Yes,No,No,No,No,-6.44,0,0,0,0,0,0.56,1,1,0,3.1
Molecule 33,0.39941349,CC(=O)Oc1cc2O/C(=C\c3ccncc3)/C(=O)c2c(c1)C,C17H13NO4,295.29,22,12,0.12,3,5,0,80.08,65.49,2.73,2.64,2.82,1.32,3.64,2.63,-3.54,8.52E-02,2.89E-04,Soluble,-3.67,6.37E-02,2.16E-04,Soluble,-5.21,1.83E-03,6.21E-06,Moderately soluble,High,Yes,No,Yes,Yes,Yes,No,Yes,-6.23,0,0,0,0,0,0.55,0,2,0,2.96
Molecule 34,0.156453716,Oc1ccc(cc1)C(=O)/C=C/c1ccncc1,C14H11NO2,225.24,17,12,0,3,3,1,66.07,50.19,1.71,2.26,2.57,1.25,2.9,2.14,-2.98,2.33E-01,1.04E-03,Soluble,-2.95,2.52E-01,1.12E-03,Soluble,-4.01,2.19E-02,9.71E-05,Moderately soluble,High,Yes,No,Yes,No,No,No,No,-6.07,0,0,0,0,0,0.55,0,1,1,2.16
Molecule 35,0.226175349,COc1ccc2c(c1)c(C=O)c[nH]2,C10H9NO2,175.18,13,9,0.1,2,2,1,50.18,42.09,1.48,1.48,1.99,0.57,2.65,1.63,-2.24,1.01E+00,5.77E-03,Soluble,-1.97,1.87E+00,1.07E-02,Very soluble,-3.36,7.72E-02,4.41E-04,Soluble,High,Yes,No,Yes,No,No,No,No,-6.32,0,0,0,0,1,0.55,0,1,1,1.28
Molecule 36,0.363311495,CC(=O)COc1ccc2c(c1)O/C(=C\c1ccco1)/C2=O,C16H12O5,284.26,21,11,0.12,4,5,0,74.39,65.74,2.76,2.42,2.75,0.31,3.44,2.34,-3.25,1.60E-01,5.61E-04,Soluble,-3.44,1.03E-01,3.61E-04,Soluble,-4.82,4.35E-03,1.53E-05,Moderately soluble,High,Yes,No,Yes,Yes,Yes,No,Yes,-6.32,0,0,0,0,0,0.55,1,1,0,3.16
Molecule 37,0.236909323,CC(=O)Nc1ccc(c(c1)O)C(=O)/C=C/N(C)C,C13H16N2O3,248.28,18,6,0.23,5,3,2,69.82,69.64,1.87,1.34,1.42,0.53,1.05,1.24,-2.14,1.80E+00,7.24E-03,Soluble,-2.4,9.79E-01,3.94E-03,Soluble,-2.37,1.07E+00,4.32E-03,Soluble,High,Yes,No,No,No,No,No,No,-6.86,0,0,0,0,0,0.55,0,1,1,2.3
Molecule 38,0.134715026,C=CCNS(=O)(=O)c1ccc(cc1)Cl,C9H10ClNO2S,231.7,14,6,0.11,4,3,1,56.49,54.55,2,2.16,2.89,1.77,1.66,2.1,-2.69,4.73E-01,2.04E-03,Soluble,-2.94,2.67E-01,1.15E-03,Soluble,-3.85,3.29E-02,1.42E-04,Soluble,High,Yes,No,Yes,Yes,No,No,No,-6.18,0,0,0,0,0,0.55,0,1,1,2.31
Molecule 39,0.162491972,CCOc1ccc(cc1)S(=O)(=O)NCC=C,C11H15NO3S,241.31,16,6,0.27,6,4,1,62.78,63.78,2.1,1.87,2.63,1.21,1.43,1.85,-2.4,9.70E-01,4.02E-03,Soluble,-2.83,3.56E-01,1.48E-03,Soluble,-3.76,4.15E-02,1.72E-04,Soluble,High,Yes,No,No,Yes,No,No,No,-6.44,0,0,0,0,0,0.55,0,1,1,2.34
Molecule 40,0.188205772,C=CCNS(=O)(=O)c1cc(C)ccc1C,C11H15NO2S,225.31,15,6,0.27,4,3,1,61.41,54.55,2.33,2.26,2.85,1.8,2,2.25,-2.69,4.57E-01,2.03E-03,Soluble,-3.04,2.05E-01,9.08E-04,Soluble,-4.01,2.22E-02,9.84E-05,Moderately soluble,High,Yes,No,Yes,Yes,No,No,No,-6.07,0,0,0,0,0,0.55,0,1,1,2.43
Molecule 41,0.173580089,C=CCNS(=O)(=O)c1ccc(c(c1)C)C,C11H15NO2S,225.31,15,6,0.27,4,3,1,61.41,54.55,2.17,2.26,2.85,1.8,2,2.22,-2.69,4.57E-01,2.03E-03,Soluble,-3.04,2.05E-01,9.08E-04,Soluble,-4.01,2.22E-02,9.84E-05,Moderately soluble,High,Yes,No,Yes,Yes,No,No,No,-6.07,0,0,0,0,0,0.55,0,1,1,2.44
Molecule 42,0.20352867,C=CCNS(=O)(=O)c1ccc(c(c1)C)OC,C11H15NO3S,241.31,16,6,0.27,5,4,1,62.94,63.78,2.3,1.87,2.55,1.21,1.56,1.9,-2.46,8.33E-01,3.45E-03,Soluble,-2.83,3.56E-01,1.48E-03,Soluble,-3.75,4.32E-02,1.79E-04,Soluble,High,Yes,No,Yes,Yes,No,No,No,-6.44,0,0,0,0,0,0.55,0,1,1,2.32
Molecule 43,0.232979388,C=CCNS(=O)(=O)c1ccc(c(c1)OCC)F,C11H14FNO3S,259.3,17,6,0.27,6,5,1,62.73,63.78,2.57,1.97,3.19,1.62,1.88,2.25,-2.55,7.24E-01,2.79E-03,Soluble,-2.93,3.01E-01,1.16E-03,Soluble,-4.04,2.36E-02,9.12E-05,Moderately soluble,High,Yes,No,No,Yes,No,No,No,-6.48,0,0,0,0,0,0.55,0,1,0,2.68
Molecule 44,0.259096612,CC(=O)Nc1ccccc1OS(=O)(=O)c1ccccc1,C14H13NO4S,291.32,20,12,0.07,5,4,1,75.05,80.85,2.6,1.94,3.3,2.45,1.44,2.35,-2.98,3.03E-01,1.04E-03,Soluble,-3.26,1.59E-01,5.47E-04,Soluble,-4.96,3.19E-03,1.09E-05,Moderately soluble,High,No,No,Yes,Yes,No,No,No,-6.7,0,0,0,0,0,0.55,0,1,0,2.52
Molecule 45,0.279212792,C=CCNS(=O)(=O)c1cc(C)c(cc1OC)C,C12H17NO3S,255.33,17,6,0.33,5,4,1,67.9,63.78,2.15,2.23,2.86,1.49,2.08,2.16,-2.76,4.45E-01,1.74E-03,Soluble,-3.2,1.59E-01,6.24E-04,Soluble,-4.13,1.88E-02,7.38E-05,Moderately soluble,High,Yes,No,No,Yes,No,No,No,-6.27,0,0,0,0,0,0.55,0,1,0,2.66
Molecule 46,0.261328367,C=CCNS(=O)(=O)c1ccc(cc1OCC)C,C12H17NO3S,255.33,17,6,0.33,6,4,1,67.74,63.78,2.25,2.23,2.94,1.49,1.95,2.17,-2.69,5.18E-01,2.03E-03,Soluble,-3.2,1.59E-01,6.24E-04,Soluble,-4.15,1.81E-02,7.10E-05,Moderately soluble,High,Yes,No,No,Yes,No,No,No,-6.27,0,0,0,0,0,0.55,0,1,0,2.67
Molecule 47,0.290719115,C=CCNS(=O)(=O)c1cc(OC)c(cc1OC)C,C12H17NO4S,271.33,18,6,0.33,6,5,1,69.43,73.01,2.28,1.84,2.56,0.93,1.65,1.85,-2.53,7.97E-01,2.94E-03,Soluble,-2.99,2.75E-01,1.01E-03,Soluble,-3.87,3.68E-02,1.36E-04,Soluble,High,Yes,No,No,Yes,No,No,No,-6.65,0,0,0,0,0,0.55,0,1,0,2.94
Molecule 48,0.160904255,CC(=O)Nc1ccc(cc1)OS(=O)(=O)C,C9H11NO4S,229.25,15,6,0.22,4,4,1,56.21,80.85,1.38,0.6,1.87,1.01,0.27,1.03,-1.67,4.89E+00,2.13E-02,Very soluble,-1.87,3.08E+00,1.34E-02,Very soluble,-2.85,3.28E-01,1.43E-03,Soluble,High,No,No,No,No,No,No,No,-7.27,0,0,0,0,0,0.55,0,1,1,1.99
Molecule 49,0.272954403,Clc1ccc(c2c1cccn2)OS(=O)(=O)C,C10H8ClNO3S,257.69,16,10,0.1,2,4,0,62.21,64.64,1.97,2.78,3.31,1.78,1.86,2.34,-3.52,7.79E-02,3.02E-04,Soluble,-3.79,4.15E-02,1.61E-04,Soluble,-4.37,1.09E-02,4.24E-05,Moderately soluble,High,Yes,No,Yes,Yes,No,No,No,-5.9,0,0,0,0,0,0.55,0,1,0,2.42
Molecule 50,0.292458614,Fc1ccc(cc1)OS(=O)(=O)c1ccccc1[N+](=O)[O-],C12H8FNO5S,297.26,20,12,0,4,6,0,69.52,97.57,1.75,2.97,4,3.2,0.08,2.4,-3.73,5.48E-02,1.84E-04,Soluble,-4.68,6.18E-03,2.08E-05,Moderately soluble,-4.23,1.75E-02,5.89E-05,Moderately soluble,High,No,No,Yes,Yes,No,No,No,-6,0,0,0,0,0,0.55,0,3,0,2.81
Molecule 51,0.262836186,C=CCNS(=O)(=O)c1cc(ccc1C)[N+](=O)[O-],C10H12N2O4S,256.28,17,6,0.2,5,5,1,65.27,100.37,1.3,1.72,2.45,0.49,-0.58,1.07,-2.44,9.23E-01,3.60E-03,Soluble,-3.44,9.22E-02,3.60E-04,Soluble,-3,2.58E-01,1.01E-03,Soluble,High,No,No,No,No,No,No,No,-6.64,0,0,0,0,0,0.55,0,3,0,2.62
Molecule 52,0.297017651,COc1c(Cl)c(Cl)ccc1S(=O)(=O)NCC=C,C10H11Cl2NO3S,296.17,17,6,0.2,5,4,1,67.99,63.78,2.31,2.76,3.55,2.03,2.4,2.61,-3.35,1.33E-01,4.51E-04,Soluble,-3.75,5.21E-02,1.76E-04,Soluble,-4.58,7.86E-03,2.65E-05,Moderately soluble,High,Yes,No,No,Yes,Yes,No,No,-6.15,0,0,0,0,0,0.55,0,1,0,2.75
Molecule 53,0.289634146,COc1cc(Cl)c(cc1S(=O)(=O)NCC=C)OC,C11H14ClNO4S,291.75,18,6,0.27,6,5,1,69.47,73.01,2.27,2.1,2.9,1.2,1.8,2.06,-2.82,4.39E-01,1.50E-03,Soluble,-3.26,1.59E-01,5.45E-04,Soluble,-4.09,2.37E-02,8.13E-05,Moderately soluble,High,Yes,No,No,Yes,Yes,No,No,-6.59,0,0,0,0,0,0.55,0,1,0,3.04
Molecule 54,0.22984127,O=C1OC(C)(C)OC(=O)C1=CNc1ccc(cc1)F,C13H12FNO4,265.24,19,6,0.23,2,5,1,64.57,64.63,2.38,2.55,2.19,1.49,2.37,2.19,-3.19,1.70E-01,6.42E-04,Soluble,-3.55,7.40E-02,2.79E-04,Soluble,-3.89,3.41E-02,1.29E-04,Soluble,High,Yes,No,Yes,No,No,No,No,-6.11,0,0,0,0,0,0.55,1,3,0,2.68
Molecule 55,0.242290749,O=C1OC(C)(C)OC(=O)C1=CNc1ccccn1,C12H12N2O4,248.23,18,6,0.25,2,5,1,62.4,77.52,2.01,1.71,1.02,0.41,1.41,1.31,-2.57,6.67E-01,2.69E-03,Soluble,-2.95,2.76E-01,1.11E-03,Soluble,-3.24,1.42E-01,5.71E-04,Soluble,High,No,No,Yes,No,No,No,No,-6.6,0,0,0,0,0,0.55,1,3,1,2.88
Molecule 56,0.27278402,Clc1ccc(nc1)NC=C1C(=O)OC(OC1=O)(C)C,C12H11ClN2O4,282.68,19,6,0.25,2,5,1,67.41,77.52,2.28,2.34,1.68,0.95,2.05,1.86,-3.17,1.92E-01,6.78E-04,Soluble,-3.61,6.98E-02,2.47E-04,Soluble,-3.85,3.99E-02,1.41E-04,Soluble,High,No,No,Yes,No,No,No,No,-6.36,0,0,0,0,0,0.55,1,3,0,2.88
Molecule 57,0.264209869,Cc1ccnc(c1)NC=C1C(=O)OC(OC1=O)(C)C,C13H14N2O4,262.26,19,6,0.31,2,5,1,67.37,77.52,2.29,2.08,1.33,1.09,1.9,1.74,-2.88,3.47E-01,1.32E-03,Soluble,-3.34,1.21E-01,4.60E-04,Soluble,-3.63,6.18E-02,2.36E-04,Soluble,High,No,No,Yes,No,No,No,No,-6.42,0,0,0,0,0,0.55,1,3,0,2.94
Molecule 58,0.270354257,Cc1cccc(n1)NC=C1C(=O)OC(OC1=O)(C)C,C13H14N2O4,262.26,19,6,0.31,2,5,1,67.37,77.52,2.27,2.11,1.33,1.09,1.9,1.74,-2.9,3.32E-01,1.27E-03,Soluble,-3.37,1.12E-01,4.28E-04,Soluble,-3.63,6.18E-02,2.36E-04,Soluble,High,No,No,Yes,No,No,No,No,-6.4,0,0,0,0,0,0.55,1,3,0,2.87
Molecule 59,0.26296065,Cc1csc(n1)NC=C1C(=O)OC(OC1=O)(C)C,C11H12N2O4S,268.29,18,5,0.36,2,5,1,65.25,105.76,2.35,2.21,1.39,0.58,2.56,1.82,-2.97,2.88E-01,1.07E-03,Soluble,-4.07,2.31E-02,8.60E-05,Moderately soluble,-2.9,3.42E-01,1.27E-03,Soluble,High,No,No,Yes,No,No,No,No,-6.37,0,0,0,0,0,0.55,1,3,0,3.12
Molecule 60,0.275076923,O=C1OC2(CCCCC2)OC(=O)C1=CNc1ccccn1,C15H16N2O4,288.3,21,6,0.4,2,5,1,74.71,77.52,2.29,2.72,1.95,1.61,2.02,2.12,-3.42,1.09E-01,3.80E-04,Soluble,-4,2.87E-02,9.96E-05,Moderately soluble,-3.85,4.12E-02,1.43E-04,Soluble,High,No,No,Yes,No,No,No,No,-6.13,0,0,0,0,0,0.55,1,3,0,3.56
Molecule 61,0.285627284,CCOC(=O)CC(=O)Nc1ccsc1C(=O)OC,C11H13NO5S,271.29,18,5,0.36,8,5,1,65.62,109.94,2.51,1.9,1.24,0.44,2.21,1.66,-2.4,1.09E+00,4.01E-03,Soluble,-3.83,4.00E-02,1.47E-04,Soluble,-2.63,6.36E-01,2.34E-03,Soluble,High,No,No,Yes,No,No,No,No,-6.61,0,0,0,0,0,0.55,0,2,1,2.75
Molecule 62,0.25220681,N#Cc1ccsc1NC(=O)CSc1n[nH]cn1,C9H7N5OS2,265.31,17,10,0.11,5,4,2,64.53,148,0.64,2.02,1.28,-0.28,2.21,1.17,-2.86,3.64E-01,1.37E-03,Soluble,-4.76,4.66E-03,1.76E-05,Moderately soluble,-3.25,1.48E-01,5.58E-04,Soluble,Low,No,No,No,No,No,No,No,-6.48,0,0,1,1,0,0.55,0,0,0,2.73
Molecule 63,0.457351291,N#CCSc1nc(C)nc2c1c1CCCc1s2,C12H11N3S2,261.37,17,9,0.42,2,3,0,71.28,103.11,2.72,3.27,3.1,1.82,4.58,3.1,-3.78,4.33E-02,1.66E-04,Soluble,-5.11,2.03E-03,7.77E-06,Moderately soluble,-4.42,9.96E-03,3.81E-05,Moderately soluble,High,No,Yes,Yes,Yes,Yes,No,No,-5.57,0,0,0,0,0,0.55,0,0,0,2.99
Molecule 64,0.418149466,Cc1c(CC(=O)OCC)c(=O)n2c([nH]1)nc(n2)N,C10H13N5O3,251.24,18,9,0.4,4,5,2,63.65,115.37,1.16,0.27,-0.58,0.33,0.34,0.3,-1.67,5.32E+00,2.12E-02,Very soluble,-2.25,1.40E+00,5.57E-03,Soluble,-2.17,1.71E+00,6.79E-03,Soluble,High,No,No,No,No,No,No,No,-7.64,0,1,0,0,0,0.55,0,0,0,2.77
Molecule 65,0.41522903,COC(=O)Cc1c(C)[nH]c2n(c1=O)nc(n2)N,C9H11N5O3,237.22,17,9,0.33,3,5,2,58.84,115.37,1.22,-0.1,-0.97,0.03,0,0.04,-1.44,8.58E+00,3.62E-02,Very soluble,-1.87,3.20E+00,1.35E-02,Very soluble,-1.76,4.08E+00,1.72E-02,Soluble,High,No,No,No,No,No,No,No,-7.82,0,1,0,0,0,0.55,0,0,1,2.64
Molecule 66,0.187064046,COc1ccc(cc1)C1CC(=O)C(C(=O)C1)Br,C13H13BrO3,297.14,17,6,0.38,2,3,0,68.09,43.37,1.87,2.24,2.47,1.62,3.23,2.29,-3.22,1.78E-01,5.99E-04,Soluble,-2.79,4.86E-01,1.64E-03,Soluble,-4.35,1.32E-02,4.46E-05,Moderately soluble,High,Yes,No,Yes,Yes,No,No,No,-6.52,0,0,0,0,0,0.55,0,2,0,2.72
Molecule 67,0.401869159,N#Cc1c(C)cc(n(c1=O)CC(=O)Nc1[nH]nc(c1)C)C,C14H15N5O2,285.3,21,11,0.29,4,4,2,77.56,103.57,1.61,0.54,0.82,0.36,2.01,1.07,-2.07,2.41E+00,8.46E-03,Soluble,-2.29,1.47E+00,5.17E-03,Soluble,-4.11,2.21E-02,7.74E-05,Moderately soluble,High,No,No,No,No,No,No,No,-7.66,0,0,0,0,0,0.55,0,0,0,2.72
Molecule 68,0.432309443,N#CCn1cnc2c(c1=O)scc2c1ccccc1C,C15H11N3OS,281.33,20,15,0.13,2,3,0,80.1,86.92,2.11,2.68,2.96,1.99,4.03,2.75,-3.7,5.67E-02,2.02E-04,Soluble,-4.16,1.96E-02,6.96E-05,Moderately soluble,-5.07,2.39E-03,8.49E-06,Moderately soluble,High,No,No,Yes,Yes,Yes,No,No,-6.11,0,0,0,0,0,0.55,0,0,0,2.85
Molecule 69,0.341113106,N#Cc1c(SC)ncn(c1=O)CNc1ccc(cc1)C=C,C15H14N4OS,298.36,21,12,0.13,5,3,1,85.11,96.01,2.5,2.67,2.1,1.24,2.52,2.21,-3.46,1.02E-01,3.43E-04,Soluble,-4.34,1.37E-02,4.59E-05,Moderately soluble,-4.73,5.58E-03,1.87E-05,Moderately soluble,High,No,No,Yes,Yes,Yes,No,No,-6.22,0,0,0,0,0,0.55,0,0,0,2.68
Molecule 70,0.331518451,C=CCNC(=O)CCn1c(=O)[nH]c2c(c1=O)cccc2,C14H15N3O3,273.29,20,10,0.21,6,3,2,76.65,83.96,2.18,0.52,0.38,0.94,2.14,1.23,-1.84,3.99E+00,1.46E-02,Very soluble,-1.85,3.83E+00,1.40E-02,Very soluble,-3.98,2.87E-02,1.05E-04,Soluble,High,No,No,No,No,No,No,No,-7.6,0,0,0,0,0,0.55,0,1,0,2.3
Molecule 71,0.43591224,N#CCn1ccn2c(c1=O)cc(n2)c1ccc2c(c1)OCO2,C15H10N4O3,294.26,22,15,0.13,2,5,0,76.77,81.55,2.38,1.16,1.42,0.9,1.21,1.41,-2.77,5.02E-01,1.71E-03,Soluble,-2.47,1.00E+00,3.41E-03,Soluble,-3.55,8.33E-02,2.83E-04,Soluble,High,No,No,Yes,No,No,No,Yes,-7.27,0,0,0,0,0,0.55,0,0,0,2.72
Molecule 72,0.266999376,CCOC(=O)Cc1cc(=O)[nH]c2c([nH]1)cccc2,C13H14N2O3,246.26,18,11,0.23,4,3,2,68.41,74.95,2.13,1.12,1.52,1.2,3,1.8,-2.26,1.35E+00,5.49E-03,Soluble,-2.29,1.27E+00,5.16E-03,Soluble,-4.55,6.92E-03,2.81E-05,Moderately soluble,High,No,No,Yes,No,No,No,No,-7.01,0,0,0,0,0,0.55,0,0,1,2.4
Molecule 73,0.373231132,N#CCSc1nnc2n1ccn(c2=O)c1ccccc1,C13H9N5OS,283.31,20,15,0.08,3,4,0,74.86,101.28,1.48,1.29,1.5,1.18,0.88,1.27,-2.77,4.85E-01,1.71E-03,Soluble,-3.02,2.73E-01,9.62E-04,Soluble,-3.54,8.21E-02,2.90E-04,Soluble,High,No,No,Yes,No,No,No,No,-7.11,0,0,0,0,0,0.55,0,0,0,2.74
Molecule 74,0.456473214,CCCn1c2nn(c(=O)n2c2c(c1=O)cccc2)CC#N,C14H13N5O2,283.29,21,13,0.29,3,4,0,77.91,85.09,2.4,1.33,0.74,1.42,0.57,1.29,-2.69,5.73E-01,2.02E-03,Soluble,-2.72,5.42E-01,1.91E-03,Soluble,-2.86,3.87E-01,1.37E-03,Soluble,High,No,No,Yes,No,No,No,No,-7.08,0,0,0,0,0,0.55,0,0,0,2.67
Molecule 75,0.449546485,CCCn1c2nnc(n2c2c(c1=O)cccc2)SCC#N,C14H13N5OS,299.35,21,13,0.29,4,4,0,81.91,101.28,2.45,2.04,2.07,1.75,1.57,1.97,-3.18,2.00E-01,6.68E-04,Soluble,-3.79,4.80E-02,1.60E-04,Soluble,-3.89,3.89E-02,1.30E-04,Soluble,High,No,No,Yes,Yes,Yes,No,No,-6.68,0,0,0,0,0,0.55,0,0,0,2.84
Molecule 76,0.356213018,Cc1ccc(o1)/C=C/C(=O)c1c(O)[nH]c(=O)sc1=O,C12H9NO5S,279.27,19,11,0.08,3,5,2,70.27,128.61,1.17,2.03,1.19,-0.67,3.65,1.47,-3.08,2.32E-01,8.30E-04,Soluble,-4.36,1.22E-02,4.38E-05,Moderately soluble,-3.1,2.19E-01,7.85E-04,Soluble,High,No,No,No,No,No,No,No,-6.56,0,0,0,0,0,0.55,0,1,0,3.2
